style,Abstract_Expressionism,Action_painting,Analytical_Cubism,Art_Nouveau_Modern,Baroque,Color_Field_Painting,Contemporary_Realism,Cubism,Early_Renaissance,Expressionism,Fauvism,High_Renaissance,Impressionism,Mannerism_Late_Renaissance,Minimalism,Naive_Art_Primitivism,New_Realism,Northern_Renaissance,Pointillism,Pop_Art,Post_Impressionism,Realism,Rococo,Romanticism,Symbolism,Synthetic_Cubism,Ukiyo_e
Abstract_Expressionism,0.0,0.0184643417596817,0.033195458352565765,0.0168903935700655,0.026093650609254837,0.005516555160284042,0.016286451369524002,0.011843523010611534,0.022204840555787086,0.01573546789586544,0.01738729327917099,0.021948501467704773,0.03118370659649372,0.01827937737107277,0.0184526015073061,0.009988721460103989,0.024945272132754326,0.020046232268214226,0.0304963830858469,0.015494502149522305,0.022801395505666733,0.028538178652524948,0.02553645148873329,0.026234090328216553,0.02256319671869278,0.02341829426586628,0.012360627762973309
Action_painting,0.0184643417596817,0.0,0.035109855234622955,0.027828259393572807,0.032044243067502975,0.022822249680757523,0.030693883076310158,0.022499268874526024,0.032874785363674164,0.024631626904010773,0.03365282341837883,0.030945761129260063,0.04314606264233589,0.026578988879919052,0.027042331174016,0.025375744327902794,0.03650352358818054,0.025276076048612595,0.045863378793001175,0.030189769342541695,0.03548295050859451,0.035500697791576385,0.034543879330158234,0.0346253365278244,0.03100031614303589,0.02467360533773899,0.021896356716752052
Analytical_Cubism,0.033195458352565765,0.035109855234622955,0.0,0.019353274255990982,0.014081270433962345,0.03533362224698067,0.024324387311935425,0.022397739812731743,0.019030218943953514,0.020814167335629463,0.04438598081469536,0.017121292650699615,0.026228763163089752,0.018083155155181885,0.021003425121307373,0.029700420796871185,0.02161436341702938,0.01637842133641243,0.03174080699682236,0.04480399936437607,0.024928368628025055,0.014756049029529095,0.01699008420109749,0.01478000171482563,0.014299536123871803,0.010963010601699352,0.021774359047412872
Art_Nouveau_Modern,0.0168903935700655,0.027828259393572807,0.019353274255990982,0.0,0.0113175418227911,0.01823490485548973,0.005956477485597134,0.007028840947896242,0.007287421729415655,0.0061057377606630325,0.025533335283398628,0.007102480623871088,0.01718028075993061,0.005367024336010218,0.012808444909751415,0.0110176308080554,0.010194603353738785,0.009104258380830288,0.019189657643437386,0.02797519788146019,0.010402550920844078,0.012830004096031189,0.009631979279220104,0.009721976704895496,0.006100421771407127,0.01366985123604536,0.006456374190747738
Baroque,0.026093650609254837,0.032044243067502975,0.014081270433962345,0.0113175418227911,0.0,0.028565170243382454,0.01633773185312748,0.01633295603096485,0.010591702535748482,0.01098469365388155,0.03420141339302063,0.008359931409358978,0.01532813161611557,0.008679771795868874,0.021220937371253967,0.01973644085228443,0.011266185902059078,0.008721442893147469,0.023272523656487465,0.038914754986763,0.013152914121747017,0.0035749911330640316,0.005956875625997782,0.005157810170203447,0.006956498604267836,0.013602719642221928,0.014208810403943062
Color_Field_Painting,0.005516555160284042,0.022822249680757523,0.03533362224698067,0.01823490485548973,0.028565170243382454,0.0,0.01600061170756817,0.013267881236970425,0.023692967370152473,0.018113235011696815,0.0146397165954113,0.02405530959367752,0.03164420276880264,0.02095724456012249,0.018759069964289665,0.010904502123594284,0.02537250705063343,0.02340652607381344,0.029053080826997757,0.011453363113105297,0.023272821679711342,0.030568137764930725,0.027324343100190163,0.027821898460388184,0.024231821298599243,0.02596755139529705,0.015370032750070095
Contemporary_Realism,0.016286451369524002,0.030693883076310158,0.024324387311935425,0.005956477485597134,0.01633773185312748,0.01600061170756817,0.0,0.00911650899797678,0.009561536833643913,0.010294238105416298,0.02179504930973053,0.011113202199339867,0.01708139479160309,0.010582859627902508,0.013795166276395321,0.009569228626787663,0.010839413851499557,0.014567965641617775,0.01554848812520504,0.024467458948493004,0.00994364358484745,0.017020419239997864,0.013086016289889812,0.013564079999923706,0.010890661738812923,0.01898954063653946,0.010006480850279331
Cubism,0.011843523010611534,0.022499268874526024,0.022397739812731743,0.007028840947896242,0.01633295603096485,0.013267881236970425,0.00911650899797678,0.0,0.014051472768187523,0.007004634011536837,0.022983528673648834,0.013453148305416107,0.023213915526866913,0.00997654628008604,0.011757751926779747,0.0092689273878932,0.015672681853175163,0.01232388336211443,0.024094654247164726,0.023852743208408356,0.01532807108014822,0.018544314429163933,0.016288775950670242,0.015945127233862877,0.012107780203223228,0.013621442019939423,0.0057481201365590096
Early_Renaissance,0.022204840555787086,0.032874785363674164,0.019030218943953514,0.007287421729415655,0.010591702535748482,0.023692967370152473,0.009561536833643913,0.014051472768187523,0.0,0.01173968706279993,0.029796069487929344,0.00314644374884665,0.01441043522208929,0.006977658718824387,0.01596527174115181,0.01603592000901699,0.010444344021379948,0.009748146869242191,0.01740877702832222,0.03220076486468315,0.010985970497131348,0.01088525541126728,0.0059566013514995575,0.007794980425387621,0.006067144218832254,0.016899503767490387,0.011417473666369915
Expressionism,0.01573546789586544,0.024631626904010773,0.020814167335629463,0.0061057377606630325,0.01098469365388155,0.018113235011696815,0.010294238105416298,0.007004634011536837,0.01173968706279993,0.0,0.02448325790464878,0.010425213724374771,0.01873953267931938,0.006385416258126497,0.016881713643670082,0.009708786383271217,0.011931340210139751,0.00897169765084982,0.022744297981262207,0.02905998006463051,0.011311381123960018,0.013370795175433159,0.011802854016423225,0.011807091534137726,0.009428063407540321,0.013781066052615643,0.006187010556459427
Fauvism,0.01738729327917099,0.03365282341837883,0.04438598081469536,0.025533335283398628,0.03420141339302063,0.0146397165954113,0.02179504930973053,0.022983528673648834,0.029796069487929344,0.02448325790464878,0.0,0.030809994786977768,0.0315154492855072,0.028317736461758614,0.030932245776057243,0.015227995812892914,0.027729876339435577,0.0316498689353466,0.028016718104481697,0.01784779690206051,0.024282632395625114,0.03530936688184738,0.03218802809715271,0.0331079475581646,0.03126144036650658,0.0364396758377552,0.024609018117189407
High_Renaissance,0.021948501467704773,0.030945761129260063,0.017121292650699615,0.007102480623871088,0.008359931409358978,0.02405530959367752,0.011113202199339867,0.013453148305416107,0.00314644374884665,0.010425213724374771,0.030809994786977768,0.0,0.015753209590911865,0.004780645947903395,0.016002696007490158,0.016303328797221184,0.011380614712834358,0.006803992670029402,0.020116819068789482,0.033167824149131775,0.012091058306396008,0.009480210952460766,0.005334778688848019,0.006989426910877228,0.004762259777635336,0.014626915566623211,0.010224924422800541
Impressionism,0.03118370659649372,0.04314606264233589,0.026228763163089752,0.01718028075993061,0.01532813161611557,0.03164420276880264,0.01708139479160309,0.023213915526866913,0.01441043522208929,0.01873953267931938,0.0315154492855072,0.015753209590911865,0.0,0.017984656617045403,0.028287338092923164,0.021765807643532753,0.008119625970721245,0.0208932776004076,0.011647075414657593,0.040115825831890106,0.00864428747445345,0.012800664640963078,0.011452173814177513,0.012262427248060703,0.015676070004701614,0.02693876065313816,0.02234729938209057
Mannerism_Late_Renaissance,0.01827937737107277,0.026578988879919052,0.018083155155181885,0.005367024336010218,0.008679771795868874,0.02095724456012249,0.010582859627902508,0.00997654628008604,0.006977658718824387,0.006385416258126497,0.028317736461758614,0.004780645947903395,0.017984656617045403,0.0,0.015298728831112385,0.013214658945798874,0.012368445284664631,0.004194074776023626,0.022357288748025894,0.030904138460755348,0.012342371046543121,0.011094886809587479,0.008245560340583324,0.00918726809322834,0.00606884341686964,0.012757637538015842,0.006152319721877575
Minimalism,0.0184526015073061,0.027042331174016,0.021003425121307373,0.012808444909751415,0.021220937371253967,0.018759069964289665,0.013795166276395321,0.011757751926779747,0.01596527174115181,0.016881713643670082,0.030932245776057243,0.016002696007490158,0.028287338092923164,0.015298728831112385,0.0,0.018975989893078804,0.02145456150174141,0.0163812804967165,0.02687893621623516,0.02539798617362976,0.02242511324584484,0.022846903651952744,0.02003857120871544,0.019493047147989273,0.014960418455302715,0.014378412626683712,0.013099825009703636
Naive_Art_Primitivism,0.009988721460103989,0.025375744327902794,0.029700420796871185,0.0110176308080554,0.01973644085228443,0.010904502123594284,0.009569228626787663,0.0092689273878932,0.01603592000901699,0.009708786383271217,0.015227995812892914,0.016303328797221184,0.021765807643532753,0.013214658945798874,0.018975989893078804,0.0,0.01609472930431366,0.01647752709686756,0.021896179765462875,0.021142592653632164,0.013294852338731289,0.021415431052446365,0.01833188720047474,0.019196782261133194,0.016752494499087334,0.02194119431078434,0.009691494517028332
New_Realism,0.024945272132754326,0.03650352358818054,0.02161436341702938,0.010194603353738785,0.011266185902059078,0.02537250705063343,0.010839413851499557,0.015672681853175163,0.010444344021379948,0.011931340210139751,0.027729876339435577,0.011380614712834358,0.008119625970721245,0.012368445284664631,0.02145456150174141,0.01609472930431366,0.0,0.01574697159230709,0.013000285252928734,0.03465230017900467,0.004387999884784222,0.009998236782848835,0.008232357911765575,0.007830710150301456,0.009669531136751175,0.02016126550734043,0.015886778011918068
Northern_Renaissance,0.020046232268214226,0.025276076048612595,0.01637842133641243,0.009104258380830288,0.008721442893147469,0.02340652607381344,0.014567965641617775,0.01232388336211443,0.009748146869242191,0.00897169765084982,0.0316498689353466,0.006803992670029402,0.0208932776004076,0.004194074776023626,0.0163812804967165,0.01647752709686756,0.01574697159230709,0.0,0.02616845816373825,0.033367738127708435,0.016087017953395844,0.011775246821343899,0.010155733674764633,0.010856026783585548,0.008052469231188297,0.011073095723986626,0.008050002157688141
Pointillism,0.0304963830858469,0.045863378793001175,0.03174080699682236,0.019189657643437386,0.023272523656487465,0.029053080826997757,0.01554848812520504,0.024094654247164726,0.01740877702832222,0.022744297981262207,0.028016718104481697,0.020116819068789482,0.011647075414657593,0.022357288748025894,0.02687893621623516,0.021896179765462875,0.013000285252928734,0.02616845816373825,0.0,0.03486364334821701,0.012735016644001007,0.021385837346315384,0.01822497881948948,0.018828576430678368,0.01999444141983986,0.03107638843357563,0.024655941873788834
Pop_Art,0.015494502149522305,0.030189769342541695,0.04480399936437607,0.02797519788146019,0.038914754986763,0.011453363113105297,0.024467458948493004,0.023852743208408356,0.03220076486468315,0.02905998006463051,0.01784779690206051,0.033167824149131775,0.040115825831890106,0.030904138460755348,0.02539798617362976,0.021142592653632164,0.03465230017900467,0.033367738127708435,0.03486364334821701,0.0,0.03242410719394684,0.04062310606241226,0.03675788268446922,0.03748834878206253,0.03381195291876793,0.035827528685331345,0.025607509538531303
Post_Impressionism,0.022801395505666733,0.03548295050859451,0.024928368628025055,0.010402550920844078,0.013152914121747017,0.023272821679711342,0.00994364358484745,0.01532807108014822,0.010985970497131348,0.011311381123960018,0.024282632395625114,0.012091058306396008,0.00864428747445345,0.012342371046543121,0.02242511324584484,0.013294852338731289,0.004387999884784222,0.016087017953395844,0.012735016644001007,0.03242410719394684,0.0,0.012526440434157848,0.009910797700285912,0.010681862942874432,0.01174372248351574,0.022147679701447487,0.015042548067867756
Realism,0.028538178652524948,0.035500697791576385,0.014756049029529095,0.012830004096031189,0.0035749911330640316,0.030568137764930725,0.017020419239997864,0.018544314429163933,0.01088525541126728,0.013370795175433159,0.03530936688184738,0.009480210952460766,0.012800664640963078,0.011094886809587479,0.022846903651952744,0.021415431052446365,0.009998236782848835,0.011775246821343899,0.021385837346315384,0.04062310606241226,0.012526440434157848,0.0,0.005176318343728781,0.003990907222032547,0.007985561154782772,0.016203660517930984,0.016805045306682587
Rococo,0.02553645148873329,0.034543879330158234,0.01699008420109749,0.009631979279220104,0.005956875625997782,0.027324343100190163,0.013086016289889812,0.016288775950670242,0.0059566013514995575,0.011802854016423225,0.03218802809715271,0.005334778688848019,0.011452173814177513,0.008245560340583324,0.02003857120871544,0.01833188720047474,0.008232357911765575,0.010155733674764633,0.01822497881948948,0.03675788268446922,0.009910797700285912,0.005176318343728781,0.0,0.003243905259296298,0.005675542168319225,0.01673462614417076,0.01403067260980606
