style,Abstract_Expressionism,Action_painting,Analytical_Cubism,Art_Nouveau_Modern,Baroque,Color_Field_Painting,Contemporary_Realism,Cubism,Early_Renaissance,Expressionism,Fauvism,High_Renaissance,Impressionism,Mannerism_Late_Renaissance,Minimalism,Naive_Art_Primitivism,New_Realism,Northern_Renaissance,Pointillism,Pop_Art,Post_Impressionism,Realism,Rococo,Romanticism,Symbolism,Synthetic_Cubism,Ukiyo_e
Abstract_Expressionism,0.0,0.009121011011302471,0.025103989988565445,0.024866554886102676,0.020161347463726997,0.020968975499272346,0.026541702449321747,0.01839323714375496,0.03206757456064224,0.012541576288640499,0.012650981545448303,0.026386894285678864,0.021770834922790527,0.024351585656404495,0.026084203273057938,0.022730983793735504,0.024542253464460373,0.02905353158712387,0.024254990741610527,0.022037196904420853,0.019337300211191177,0.019873185083270073,0.02391982078552246,0.022865381091833115,0.017353055998682976,0.025739900767803192,0.031045520678162575
Action_painting,0.009121011011302471,0.0,0.03022288717329502,0.031762342900037766,0.027778493240475655,0.028908925130963326,0.03357817977666855,0.02641904726624489,0.037707336246967316,0.019642477855086327,0.019971957430243492,0.032739944756031036,0.02780735492706299,0.030646173283457756,0.03481006622314453,0.02829081565141678,0.032319024205207825,0.03462148457765579,0.030554065480828285,0.0299240555614233,0.025422388687729836,0.027187353000044823,0.032043494284152985,0.03021913394331932,0.02463444508612156,0.032944176346063614,0.03849300742149353
Analytical_Cubism,0.025103989988565445,0.03022288717329502,0.0,0.02704843506217003,0.023109063506126404,0.030953818932175636,0.03467344492673874,0.01362519059330225,0.029442694038152695,0.026271136477589607,0.027265550568699837,0.026215098798274994,0.03593292459845543,0.0233859121799469,0.03039764054119587,0.031217893585562706,0.03241953253746033,0.027723683044314384,0.029887160286307335,0.022238265722990036,0.03216115012764931,0.031329650431871414,0.026692545041441917,0.026474088430404663,0.026897724717855453,0.009164790622889996,0.02530425786972046
Art_Nouveau_Modern,0.024866554886102676,0.031762342900037766,0.02704843506217003,0.0,0.00614792900159955,0.02996838092803955,0.016799207776784897,0.01722198724746704,0.009652887471020222,0.013992734253406525,0.01590552181005478,0.004258671309798956,0.01692638359963894,0.0056227343156933784,0.027956359088420868,0.008843783289194107,0.014470684342086315,0.007792266085743904,0.007467262446880341,0.007915410213172436,0.013765809126198292,0.013079581782221794,0.007361733354628086,0.00629587983712554,0.011188450269401073,0.022282831370830536,0.00959059689193964
Baroque,0.020161347463726997,0.027778493240475655,0.023109063506126404,0.00614792900159955,0.0,0.02488046884536743,0.01497277244925499,0.011811639182269573,0.014608475379645824,0.009889350272715092,0.011421755887567997,0.008070537820458412,0.01533234678208828,0.0071189748123288155,0.02334524132311344,0.010141321457922459,0.012155743315815926,0.012263466604053974,0.008464020676910877,0.0035099852830171585,0.011875081807374954,0.01046603824943304,0.005590278655290604,0.004530145786702633,0.007207375485450029,0.01842302456498146,0.011438742280006409
Color_Field_Painting,0.020968975499272346,0.028908925130963326,0.030953818932175636,0.02996838092803955,0.02488046884536743,0.0,0.026603994891047478,0.020631611347198486,0.03914181888103485,0.02224739082157612,0.02063048630952835,0.03287829831242561,0.025948723778128624,0.03176511079072952,0.00834650918841362,0.031190505251288414,0.02309194765985012,0.036985162645578384,0.030532924458384514,0.02470429614186287,0.026143623515963554,0.0226201880723238,0.024215547367930412,0.02675722911953926,0.023249108344316483,0.0263621024787426,0.032641589641571045
Contemporary_Realism,0.026541702449321747,0.03357817977666855,0.03467344492673874,0.016799207776784897,0.01497277244925499,0.026603994891047478,0.0,0.02219407446682453,0.02387346513569355,0.015356037765741348,0.014074127189815044,0.018122047185897827,0.009089341387152672,0.019008055329322815,0.024539446458220482,0.013956923969089985,0.004880400840193033,0.022228779271245003,0.011575487442314625,0.014515436254441738,0.010147089138627052,0.008455293253064156,0.012864978052675724,0.011358405463397503,0.010817642323672771,0.02966066636145115,0.020335417240858078
Cubism,0.01839323714375496,0.02641904726624489,0.01362519059330225,0.01722198724746704,0.011811639182269573,0.020631611347198486,0.02219407446682453,0.0,0.02337796986103058,0.015294176526367664,0.01576640084385872,0.017905218526721,0.023635078221559525,0.015638142824172974,0.019355330616235733,0.021091977134346962,0.019301343709230423,0.02126298099756241,0.019388027489185333,0.010671270079910755,0.020527902990579605,0.018588855862617493,0.01443259697407484,0.01506403461098671,0.014947803691029549,0.008967267349362373,0.017351556569337845
Early_Renaissance,0.03206757456064224,0.037707336246967316,0.029442694038152695,0.009652887471020222,0.014608475379645824,0.03914181888103485,0.02387346513569355,0.02337796986103058,0.0,0.022100292146205902,0.024274703115224838,0.00680540781468153,0.024775473400950432,0.00846417061984539,0.03667578473687172,0.014510772190988064,0.022768164053559303,0.0031295937951654196,0.013385767117142677,0.015364005230367184,0.021420983597636223,0.021927200257778168,0.016111453995108604,0.014247850514948368,0.019563164561986923,0.025887370109558105,0.010822664946317673
Expressionism,0.012541576288640499,0.019642477855086327,0.026271136477589607,0.013992734253406525,0.009889350272715092,0.02224739082157612,0.015356037765741348,0.015294176526367664,0.022100292146205902,0.0,0.002988293766975403,0.015824003145098686,0.011035371571779251,0.014697827398777008,0.023900605738162994,0.010879228822886944,0.013459115289151669,0.019209787249565125,0.012039091438055038,0.012248321436345577,0.007553895004093647,0.008277353830635548,0.013169024139642715,0.011192427016794682,0.005251391790807247,0.023834235966205597,0.021235575899481773
